"State/UT","Year","Season","Pump Type","Agricultural Demand (%)","Industrial Demand (%)","Domestic Demand (%)","Total Demand (%)","Subsidy Impact Factor","Market Growth Rate (%)","Energy Efficiency Rating"
"Andhra Pradesh","2015","Summer","Submersible","44","28","35","107","17.942205199052","6.3225185455907","4"
"Andhra Pradesh","2015","Summer","Surface Suction","42","33","30","105","18.712699884419","5.7120439066837","4"
"Andhra Pradesh","2015","Summer","Floating","29","44","44","117","13.270035382161","1.0303695030773","4"
"Andhra Pradesh","2015","Monsoon","Submersible","55","27","21","103","13.837903953854","4.9117675570156","1"
"Andhra Pradesh","2015","Monsoon","Surface Suction","45","42","23","110","4.744981749936","2.9523981889556","4"
"Andhra Pradesh","2015","Monsoon","Floating","65","17","26","108","14.418798485043","2.8483647511143","4"
"Andhra Pradesh","2015","Winter","Submersible","21","31","41","93","4.8797928675817","6.8380633285147","1"
"Andhra Pradesh","2015","Winter","Surface Suction","60","17","46","123","8.6878873102086","3.1004704461681","1"
"Andhra Pradesh","2015","Winter","Floating","37","56","52","145","3.9048597559609","5.334712691569","3"
"Andhra Pradesh","2016","Summer","Submersible","13","44","36","93","19.891010215947","3.8196670839457","2"
"Andhra Pradesh","2016","Summer","Surface Suction","62","15","54","131","14.954375477948","6.7184310821437","1"
"Andhra Pradesh","2016","Summer","Floating","58","55","50","163","19.272399541785","6.1180567328042","3"
"Andhra Pradesh","2016","Monsoon","Submersible","30","41","42","113","5.3694971378031","3.9116792456579","2"
"Andhra Pradesh","2016","Monsoon","Surface Suction","34","51","50","135","16.884262814526","6.580101008865","2"
"Andhra Pradesh","2016","Monsoon","Floating","33","59","51","143","13.422870336481","3.151880687777","3"
"Andhra Pradesh","2016","Winter","Submersible","36","51","21","108","6.451015284772","6.092018769548","1"
"Andhra Pradesh","2016","Winter","Surface Suction","52","57","58","167","5.8718368852899","5.8561669328711","3"
"Andhra Pradesh","2016","Winter","Floating","59","34","43","136","18.264811051129","4.0680543931656","1"
"Andhra Pradesh","2017","Summer","Submersible","45","54","39","138","12.999278615555","5.2118012635462","4"
"Andhra Pradesh","2017","Summer","Surface Suction","23","21","42","86","0.55233543747409","4.4731893730454","4"
"Andhra Pradesh","2017","Summer","Floating","32","31","44","107","3.1008323345549","6.8910453298632","2"
"Andhra Pradesh","2017","Monsoon","Submersible","67","31","61","159","16.452011213193","3.1611438484676","4"
"Andhra Pradesh","2017","Monsoon","Surface Suction","46","42","27","115","15.399871061972","2.2949261649811","1"
"Andhra Pradesh","2017","Monsoon","Floating","48","13","25","86","1.0336344233722","4.1881277894089","3"
"Andhra Pradesh","2017","Winter","Submersible","44","49","35","128","19.517041589251","4.0978020898072","2"
"Andhra Pradesh","2017","Winter","Surface Suction","28","26","38","92","8.7794284141127","1.4707382880536","1"
"Andhra Pradesh","2017","Winter","Floating","35","32","28","95","13.769998015307","1.3491615730507","2"
"Andhra Pradesh","2018","Summer","Submersible","10","56","53","119","4.7957471831481","1.5632397404878","1"
"Andhra Pradesh","2018","Summer","Surface Suction","49","54","20","123","19.097305613264","5.4273815001746","3"
"Andhra Pradesh","2018","Summer","Floating","14","31","48","93","8.3920012485558","2.4863859370069","4"
"Andhra Pradesh","2018","Monsoon","Submersible","60","46","41","147","0.28786977259512","1.6964358430415","1"
"Andhra Pradesh","2018","Monsoon","Surface Suction","56","58","49","163","17.10921168022","5.2219471562801","4"
"Andhra Pradesh","2018","Monsoon","Floating","25","35","45","105","9.8323175023366","3.8408306246834","1"
"Andhra Pradesh","2018","Winter","Submersible","39","46","42","127","0.96117848394067","6.6948743895483","4"
"Andhra Pradesh","2018","Winter","Surface Suction","43","40","29","112","12.517198314285","4.0188175514805","1"
"Andhra Pradesh","2018","Winter","Floating","65","14","64","143","3.2586885416286","1.4234124844026","3"
"Andhra Pradesh","2019","Summer","Submersible","11","58","47","116","11.715511625469","6.6413814485497","4"
"Andhra Pradesh","2019","Summer","Surface Suction","21","59","54","134","12.865764368847","3.7495173429491","3"
"Andhra Pradesh","2019","Summer","Floating","52","46","31","129","7.7220527560155","6.7671433829435","2"
